File Name,Author,Status,Select,Pages,Section
"A PATRIARCH REVIEWS THE PAST
TO IMPACT THE FUTURE",CHAYA GREENBERGER,Not read not used,Scholarly Article,8,"Genesis 49, The Blessings"
Children of Jacob,Image,Read but not used,Graphics,1,"Genesis 29-30, The birth and naming of the children"
The Lord of the Dreams : A Semantic and Literary Analysis of Genisis 37-50 (chapter 2),Ron Pirson,Not read not used,Book,22,"Genesis 29-30, The birth and naming of the children and the family nuclei. This section consults only chapter 2 of the book."
The Lord of the Dreams : A Semantic and Literary Analysis of Genisis 37-50 (chapter 4-6),Ron Prison,Not read not used,Book,23,Genesis 37-50: The character of Joseph’s siblings towards him. This section consults only chapters 4-6 of the book.
The Lord of the Dreams : A Semantic and Literary Analysis of Genisis 37-50 (chapter 7),Ron Pirson,Not read not used,Book,23,Genesis 49: Jacob’s promises to his children
ISRAEL'S CITIES OF REFUGE,Robert I. Vasholz,Not read not used,Scholarly Article,4,The Canaan land distribution among the tribes
Genesis 34-42,R. R. Reno,Not read not used,Commentary,50,"Genesis 34-42, from Dinah’s tragedy to the first trip in egypt"
Genesis 49,Andrew E. Steinman,Not read not used,Commentary,31,"Genesis 49, The Blessings"
Map and Text: A Mid Ninth-Century Map for the Book of Joshua,THOMAS O'LOUGHLIN,Not read not used,Scholarly Article,17,
"A TALE OF TWO BROTHERS:
THE MESSIAH IN GENESIS 49",Paul Twiss,Not read not used,Scholarly Article,14,"Genesis 49, The Blessings"
Tamar and Joseph in Genesis 38 and 39,PETERBEKINS,Not read not used,Scholarly Article,24,"Genesis 38, Life and Character of Joseph in Genesis"
JUDAH: THIS TIME I WILL PRAISE THE LORD (GEN. 29:35),PESACH SCHINDLER,Read & used,Scholarly Article,4,"Genesis 29:35, Life and Character of Judah in Genesis"
"The Story of Dinah in the
Testament of Levi",James Kugel,Read but not used,Scholarly Article,35,"Genesis: 34, Life and Character of Simeon and Levi in Genesis"
REUBEN: THE PREDICAMENT OF THE FIRSTBORN,BRIAN WEINSTEIN,Read & used,Article,6,"Genesis, The Life and Character of Reuben"
SEXUAL UNION AND SEXUAL OFFENCES IN JUBILEES,DAVID ROTHSTEIN,Not read not used,Scholarly Article,23,Colossal sexual sins of the tribes throughout their history
What is the significance of the land of Gilead in the Bible?,Got Questions,Read but not used,Blog,1,"Gilead (Mannasseh), The Land distribution among the tribes "
“Jacob’s Trouble”: The Shechem Fiasco and the Breaking of Covenant in Genesis 34,Brian Neil Peterson,Read & used,Scholarly Article,21,
"Dinah, THe Torah’s Forgotten Woman",Jeffrey K. Salkin,Not read not used,Scholarly Article,7,
The Sack of Shechem: The Use of Typology in Biblical Covenant Religion,STEPHEN A. GELLER,Read but not used,Scholarly Article,16,"Jezreel, the sexo-religion there, The Land distribution among the tribes  "
Rape is Rape is Rape: The Story of Dinah and Shechem (Genesis 34),Yael Shemesh,Read but not used,Scholarly Article,20,Talks mainly about the act of rape itself rather than casting theological light upon the issue
