Name,Category,Created,Tags
Agains self-steem,Christianity,"October 16, 2022 3:23 PM",sermon
Offerings,Christianity,"October 16, 2022 3:42 PM",sermon
P3T3R,Christianity,"November 6, 2022 11:28 AM",sermon
Breaking the Perfume,Christianity,"September 13, 2022 7:09 AM",sermon
The prodigy son,Christianity,"May 6, 2023 8:22 AM",sermon
When spring comes,Christianity,"June 8, 2023 11:19 AM",sermon
"When God wishes you did not go to church ",Christianity,"August 13, 2023 5:55 AM",sermon
Does the Holy Spirit operates as 2000 years ago?,Christianity,"November 27, 2022 11:14 AM","article, commentary, dilema"
2 Kings 24:4,Christianity,"November 11, 2023 7:49 AM","article, dilema"
Christ’s heavenly body,Christianity,"November 11, 2023 7:51 AM","commentary, dilema"
"Galatians 3:5 ",Christianity,"November 11, 2023 7:51 AM",
 2 Chronicles 5:14,Christianity,"November 11, 2023 7:53 AM",
The three rods/ staffs,Christianity,"November 12, 2023 11:51 AM",
Does the Holy Spirit operate through false prophets?,Christianity,"July 24, 2024 8:34 AM",dilema
Is God still calling apostles today?,Christianity,"November 3, 2024 6:05 AM",
